Name,Number,HexColor,CreatedOn,LastModified
Mustard - Medium,370,917245,2025-09-08T00:00:00,2025-09-08T00:00:00
Mustard,371,9f8352,2025-09-08T00:00:00,2025-09-08T00:00:00
Mustard - Light,372,ad9564,2025-09-08T00:00:00,2025-09-08T00:00:00
Mahogany - Dark,400,813718,2025-09-08T00:00:00,2025-09-08T00:00:00
Mahogany - Very Light,402,ef9e74,2025-09-08T00:00:00,2025-09-08T00:00:00
Desert Sand - Dark,407,b77159,2025-09-08T00:00:00,2025-09-08T00:00:00
Pewter Gray - Dark,413,4a4749,2025-09-08T00:00:00,2025-09-08T00:00:00
Steel Gray - Dark,414,766e72,2025-09-08T00:00:00,2025-09-08T00:00:00
Pearl Gray,415,b8b9bd,2025-09-08T00:00:00,2025-09-08T00:00:00
Hazelnut Brown - Dark,420,855a30,2025-09-08T00:00:00,2025-09-08T00:00:00
Hazelnut Brown - Light,422,c99a67,2025-09-08T00:00:00,2025-09-08T00:00:00
Brown - Medium,433,73421e,2025-09-08T00:00:00,2025-09-08T00:00:00
Brown - Light,434,8f5332,2025-09-08T00:00:00,2025-09-08T00:00:00
Brown - Very Light,435,a96538,2025-09-08T00:00:00,2025-09-08T00:00:00
Tan,436,c78559,2025-09-08T00:00:00,2025-09-08T00:00:00
Tan - Light,437,daa26f,2025-09-08T00:00:00,2025-09-08T00:00:00
Lemon - Dark,444,f5bc13,2025-09-08T00:00:00,2025-09-08T00:00:00
Lemon - Light,445,fcf999,2025-09-08T00:00:00,2025-09-08T00:00:00
Shell Gray - Dark,451,887773,2025-09-08T00:00:00,2025-09-08T00:00:00
Shell Gray - Medium,452,ad9994,2025-09-08T00:00:00,2025-09-08T00:00:00
Shell Gray - Light,453,ccb8aa,2025-09-08T00:00:00,2025-09-08T00:00:00
Avocado Green,469,5b6533,2025-09-08T00:00:00,2025-09-08T00:00:00
Avocado Green - Light,470,72813e,2025-09-08T00:00:00,2025-09-08T00:00:00
Avocado Green - Very Light,471,9eb357,2025-09-08T00:00:00,2025-09-08T00:00:00
Avocado Green - Ultra Light,472,d1de75,2025-09-08T00:00:00,2025-09-08T00:00:00
Red - Dark,498,970b2c,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue Green - Very Dark,500,1d362a,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue Green - Dark,501,2f5446,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue Green,502,57826e,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue Green - Medium,503,89b89f,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue Green - Very Light,504,acdac1,2025-09-08T00:00:00,2025-09-08T00:00:00
Grass Green - Dark,505,338362,2025-09-08T00:00:00,2025-09-08T00:00:00
Wedgewood - Dark,517,216285,2025-09-08T00:00:00,2025-09-08T00:00:00
Wedgewood - Light,518,50819c,2025-09-08T00:00:00,2025-09-08T00:00:00
Sky Blue,519,94b7cb,2025-09-08T00:00:00,2025-09-08T00:00:00
Fern Green - Dark,520,384526,2025-09-08T00:00:00,2025-09-08T00:00:00
Fern Green,522,808b6e,2025-09-08T00:00:00,2025-09-08T00:00:00
Fern Green - Light,523,959f7a,2025-09-08T00:00:00,2025-09-08T00:00:00
Fern Green - Very Light,524,aea78e,2025-09-08T00:00:00,2025-09-08T00:00:00
Ash Gray - Very Light,535,4b4b49,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Brown - Ultra Very Light,543,ead0b5,2025-09-08T00:00:00,2025-09-08T00:00:00
Violet - Very Dark,550,580e5c,2025-09-08T00:00:00,2025-09-08T00:00:00
Violet - Medium,552,902f99,2025-09-08T00:00:00,2025-09-08T00:00:00
Violet,553,a449ac,2025-09-08T00:00:00,2025-09-08T00:00:00
Violet - Light,554,dc9cde,2025-09-08T00:00:00,2025-09-08T00:00:00
Jade - Very Dark,561,285e48,2025-09-08T00:00:00,2025-09-08T00:00:00
Jade - Medium,562,3b8c5a,2025-09-08T00:00:00,2025-09-08T00:00:00
Jade - Light,563,6ed39a,2025-09-08T00:00:00,2025-09-08T00:00:00
Jade - Very Light,564,95e4af,2025-09-08T00:00:00,2025-09-08T00:00:00
Moss Green - Dark,580,355f0b,2025-09-08T00:00:00,2025-09-08T00:00:00
Moss Green,581,838a29,2025-09-08T00:00:00,2025-09-08T00:00:00
Turquoise,597,52adab,2025-09-08T00:00:00,2025-09-08T00:00:00
Turquoise - Light,598,97d8d3,2025-09-08T00:00:00,2025-09-08T00:00:00
Cranberry - Very Dark,600,bf1c48,2025-09-08T00:00:00,2025-09-08T00:00:00
Cranberry - Dark,601,c62a53,2025-09-08T00:00:00,2025-09-08T00:00:00
Cranberry - Medium,602,d63f68,2025-09-08T00:00:00,2025-09-08T00:00:00
Cranberry - Light Medium,603,fb3b7c,2025-09-08T00:00:00,2025-09-08T00:00:00
Cranberry - Light,604,f793b2,2025-09-08T00:00:00,2025-09-08T00:00:00
Cranberry - Very Light,605,fbacc4,2025-09-08T00:00:00,2025-09-08T00:00:00
Orange-red - Bright,606,f70f00,2025-09-08T00:00:00,2025-09-08T00:00:00
Orange - Bright,608,fd480c,2025-09-08T00:00:00,2025-09-08T00:00:00
Drab Brown - Dark,610,6b5039,2025-09-08T00:00:00,2025-09-08T00:00:00
Drab Brown,611,7c5f46,2025-09-08T00:00:00,2025-09-08T00:00:00
Drab Brown - Light,612,a6885e,2025-09-08T00:00:00,2025-09-08T00:00:00
Drab Brown - Very Light,613,b99f72,2025-09-08T00:00:00,2025-09-08T00:00:00
Desert Sand - Ultra Very Dark,632,7f4232,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Gray - Very Dark,640,817868,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Gray - Dark,642,958d79,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Gray - Medium,644,c4bea6,2025-09-08T00:00:00,2025-09-08T00:00:00
Beaver Gray - Very Dark,645,5d5d54,2025-09-08T00:00:00,2025-09-08T00:00:00
Beaver Gray - Dark,646,6b6860,2025-09-08T00:00:00,2025-09-08T00:00:00
Beaver Gray - Medium,647,908e85,2025-09-08T00:00:00,2025-09-08T00:00:00
Beaver Gray - Light,648,a7a69f,2025-09-08T00:00:00,2025-09-08T00:00:00
Red - Bright,666,ce1b33,2025-09-08T00:00:00,2025-09-08T00:00:00
Old Gold - Light,676,ecbf7d,2025-09-08T00:00:00,2025-09-08T00:00:00
Old Gold - Very Light,677,f2dc9f,2025-09-08T00:00:00,2025-09-08T00:00:00
Old Gold - Dark,680,b07b46,2025-09-08T00:00:00,2025-09-08T00:00:00
Green,699,075b26,2025-09-08T00:00:00,2025-09-08T00:00:00
Green - Bright,700,076c34,2025-09-08T00:00:00,2025-09-08T00:00:00
Green - Light,701,217c36,2025-09-08T00:00:00,2025-09-08T00:00:00
Kelly Green,702,379130,2025-09-08T00:00:00,2025-09-08T00:00:00
Chartreuse,703,63b330,2025-09-08T00:00:00,2025-09-08T00:00:00
Chartreuse - Bright,704,88c53a,2025-09-08T00:00:00,2025-09-08T00:00:00
Cream,712,f6efda,2025-09-08T00:00:00,2025-09-08T00:00:00
Plum,718,cb2089,2025-09-08T00:00:00,2025-09-08T00:00:00
Orange Spice - Dark,720,c83a24,2025-09-08T00:00:00,2025-09-08T00:00:00
Orange Spice - Medium,721,f46440,2025-09-08T00:00:00,2025-09-08T00:00:00
Orange Spice - Light,722,f98756,2025-09-08T00:00:00,2025-09-08T00:00:00
Winnie The Pooh Gold,724,f9d039,2025-09-08T00:00:00,2025-09-08T00:00:00
Topaz,725,f9c15b,2025-09-08T00:00:00,2025-09-08T00:00:00
Topaz - Light,726,fddb63,2025-09-08T00:00:00,2025-09-08T00:00:00
Topaz - Very Light,727,fde98b,2025-09-08T00:00:00,2025-09-08T00:00:00
Golden Yellow,728,f2ae3f,2025-09-08T00:00:00,2025-09-08T00:00:00
Old Gold - Medium,729,ce9657,2025-09-08T00:00:00,2025-09-08T00:00:00
Olive Green - Very Dark,730,63520b,2025-09-08T00:00:00,2025-09-08T00:00:00
Olive Green - Dark,731,6b580b,2025-09-08T00:00:00,2025-09-08T00:00:00
Olive Green,732,725c0c,2025-09-08T00:00:00,2025-09-08T00:00:00
Olive Green - Medium,733,a78a44,2025-09-08T00:00:00,2025-09-08T00:00:00
Olive Green - Light,734,bb9c54,2025-09-08T00:00:00,2025-09-08T00:00:00
Tan - Very Light,738,e2b783,2025-09-08T00:00:00,2025-09-08T00:00:00
Tan - Ultra Very Light,739,f2deb9,2025-09-08T00:00:00,2025-09-08T00:00:00
Tangerine,740,fd6f1a,2025-09-08T00:00:00,2025-09-08T00:00:00
Tangerine - Medium,741,fc8b10,2025-09-08T00:00:00,2025-09-08T00:00:00
Tangerine - Light,742,fdae3c,2025-09-08T00:00:00,2025-09-08T00:00:00
Yellow - Medium,743,fdd769,2025-09-08T00:00:00,2025-09-08T00:00:00
Yellow - Pale,744,fee88d,2025-09-08T00:00:00,2025-09-08T00:00:00
Yellow - Light Pale,745,feeba5,2025-09-08T00:00:00,2025-09-08T00:00:00
Off White,746,faf2d5,2025-09-08T00:00:00,2025-09-08T00:00:00
Sky Blue - Very Light,747,cee9ea,2025-09-08T00:00:00,2025-09-08T00:00:00
Peach - Light,754,f7c9b0,2025-09-08T00:00:00,2025-09-08T00:00:00
Terra Cotta - Very Light,758,e99f83,2025-09-08T00:00:00,2025-09-08T00:00:00
Salmon,760,ec8880,2025-09-08T00:00:00,2025-09-08T00:00:00
